road_name,room_count,house_type,mt_sq,constr_year,discount,price,postal_code,price_mt_sq,date,sale_type
"Duevej 108B, 4. tv",2,Lejlighed,62,1917,NA,2225e3,2000 Frederiksberg,35887,2016-06-22,Alm. Salg
"Rådmand Steins Alle 35, 5. th",3,Lejlighed,82,1970,-0.06,235e4,2000 Frederiksberg,28658,2016-06-22,Alm. Salg
"Langelandsvej 6, st. tv",3,Lejlighed,94,1895,0,3795e3,2000 Frederiksberg,40372,2016-06-21,Alm. Salg
"Julius Valentiners Vej 35, 3. th",4,Lejlighed,93,1932,0,35e5,2000 Frederiksberg,37634,2016-06-21,Alm. Salg
"Holger Danskes Vej 102, 2. 4",2,Lejlighed,86,2005,-0.02,331e4,2000 Frederiksberg,38488,2016-06-21,Alm. Salg
"Bernhard Bangs Alle 4, 2. 49",2,Lejlighed,90,1960,NA,2578023,2000 Frederiksberg,28644,2016-06-21,Alm. Salg
"Holger Danskes Vej 32, 3. 4",3,Lejlighed,107,2011,-0.04,5145e3,2000 Frederiksberg,48084,2016-06-21,Alm. Salg
"Nordre Fasanvej 18, 1. th",3,Lejlighed,68,1901,0,2795e3,2000 Frederiksberg,41102,2016-06-20,Alm. Salg
"Frederiksvej 45, 2. th",3,Lejlighed,70,1902,NA,136e4,2000 Frederiksberg,19428,2016-06-18,Fam. Salg
"Folkvarsvej 28, 2. th",2,Lejlighed,46,1887,NA,15e5,2000 Frederiksberg,32608,2016-06-17,Fam. Salg
"Duevej 113, 2. tv",3,Lejlighed,97,1958,NA,3285e3,2000 Frederiksberg,33865,2016-06-17,Alm. Salg
"Ane Katrines Vej 10, 3. th",3,Lejlighed,69,1932,-0.04,259e4,2000 Frederiksberg,37536,2016-06-16,Alm. Salg
"Borups Alle 138, 2. tv",5,Lejlighed,120,1932,0,4195e3,2000 Frederiksberg,34958,2016-06-16,Alm. Salg
"Aksel Møllers Have 26, 4. tv",2,Lejlighed,61,1946,NA,15e5,2000 Frederiksberg,24590,2016-06-16,Alm. Salg
"Rådmand Steins Alle 17, 4. th",4,Lejlighed,107,1956,-0.01,2855e3,2000 Frederiksberg,26682,2016-06-16,Alm. Salg
"A.D. Jørgensens Vej 67, 2. 3",3,Lejlighed,102,1991,NA,35e5,2000 Frederiksberg,34313,2016-06-16,Alm. Salg
"Nordre Fasanvej 114, st. tv",2,Lejlighed,49,1897,-0.01,1985e3,2000 Frederiksberg,40510,2016-06-16,Alm. Salg
"Bernhard Bangs Alle 8, 2. 53",3,Lejlighed,101,1962,0,2695e3,2000 Frederiksberg,26683,2016-06-16,Alm. Salg
